age,job,marital,education,default,balance,rentown,repairplan,contact,plannum,months,devices,poutcome,bresponse
30,unemployed,married,primary,no,1787,rent,no,cellular,19,79,1,unknown,0
33,services,married,secondary,no,4789,own,yes,cellular,11,220,5,failure,0
35,management,single,tertiary,no,1350,own,no,cellular,16,185,2,failure,0
30,management,married,tertiary,no,1476,own,yes,unknown,3,199,1,unknown,0
59,blue-collar,married,secondary,no,0,own,no,unknown,5,226,1,unknown,0
35,management,single,tertiary,no,747,rent,no,cellular,23,141,4,failure,0
36,self-employed,married,tertiary,no,307,own,no,cellular,14,341,3,other,0
39,technician,married,secondary,no,147,own,no,cellular,6,151,1,unknown,0
41,entrepreneur,married,tertiary,no,221,own,no,unknown,14,57,1,unknown,0
43,services,married,primary,no,-88,own,yes,cellular,17,313,3,failure,0
39,services,married,secondary,no,9374,own,no,unknown,20,273,1,unknown,0
43,admin.,married,secondary,no,264,own,no,cellular,17,113,1,unknown,0
36,technician,married,tertiary,no,1109,rent,no,cellular,13,328,1,unknown,0
20,student,single,secondary,no,502,rent,no,cellular,30,261,1,unknown,1
31,blue-collar,married,secondary,no,360,own,yes,cellular,29,89,2,failure,0
40,management,married,tertiary,no,194,rent,yes,cellular,29,189,1,unknown,0
56,technician,married,secondary,no,4073,rent,no,cellular,27,239,1,unknown,0
37,admin.,single,tertiary,no,2317,own,no,cellular,20,114,3,failure,0
25,blue-collar,single,primary,no,-221,own,no,unknown,23,250,1,unknown,0
31,services,married,secondary,no,132,rent,no,cellular,7,148,2,other,0
38,management,divorced,unknown,no,0,own,no,cellular,18,96,1,unknown,0
42,management,divorced,tertiary,no,16,rent,no,cellular,19,140,1,unknown,0
44,services,single,secondary,no,106,rent,no,unknown,12,109,1,unknown,0
44,entrepreneur,married,secondary,no,93,rent,no,cellular,7,125,1,unknown,0
26,housemaid,married,tertiary,no,543,rent,no,cellular,30,169,1,unknown,0
41,management,married,tertiary,no,5883,rent,no,cellular,20,182,1,unknown,0
55,blue-collar,married,primary,no,627,own,no,unknown,5,247,1,unknown,0
67,retired,married,unknown,no,696,rent,no,telephone,17,119,3,failure,0
56,self-employed,married,secondary,no,784,rent,yes,cellular,30,149,1,unknown,0
53,admin.,married,secondary,no,105,rent,yes,cellular,21,74,1,unknown,0
68,retired,divorced,secondary,no,4189,rent,no,telephone,14,897,1,unknown,1
31,technician,married,secondary,no,171,rent,no,cellular,27,81,1,unknown,0
